Timestamp,deposition rate (A/sec),power (%),pressure (mTorr),temperature (C),crystal (kA),anode current (amp),neutralization current (amp),gas flow (sccm)
2025-06-02 15:42:20,2.419922044267898,3.2732419101288213,1.2154997844099742,24.359375,1.2151296395217943,1.2130959287996208,1.2124754443735415,1.212200666928371
2025-06-02 15:42:21,2.419868996127724,3.2734362212939527,1.2076373347803753,24.4609375,1.207482958732004,1.2059123761549444,1.2043948417180588,1.2047876363739534
2025-06-02 15:42:22,2.4197247528701724,3.2737598745536656,1.201939130060569,24.4453125,1.2018050195938372,1.2009330035368209,1.1993183135173695,1.2000788688753687
2025-06-02 15:42:23,2.4199828410128164,3.2735828487375795,1.198384904668916,24.4375,1.1980076072225103,1.1972726818648198,1.1956264013798716,1.1964078183660292
2025-06-02 15:42:24,2.42012112380518,3.273740205018545,1.1956013674260817,24.375,1.1952473157939094,1.1948801511383236,1.1933256618172718,1.1938805811262823
2025-06-02 15:42:25,2.42098121893182,3.274053129440919,1.1926980248329668,24.4375,1.1925627222731974,1.1922849645954328,1.1910654534179512,1.191588186214946
2025-06-02 15:42:26,2.4198523068251974,3.273640665249904,1.190606497598469,24.5546875,1.1905802715516414,1.1903615224792388,1.1894954668874105,1.1899562108464492
2025-06-02 15:42:27,2.418225099828851,3.2712236966161368,1.1898685920081844,24.4921875,1.1896486508427442,1.1896611678196392,1.1888612733913986,1.1892153250235706
2025-06-02 15:42:28,2.417609979821441,3.2710699166142843,1.1890204178119204,24.53125,1.1889244543223922,1.1888368354841274,1.1881960854764086,1.188356421989968
2025-06-02 15:42:29,2.4197611117078197,3.2736138431565576,1.1887158380408094,24.4609375,1.1885006652475196,1.1885662303645885,1.1877222284939561,1.1879576668688854
2025-06-02 15:42:30,2.420005490780531,3.274227175024411,1.1888082252512246,24.5078125,1.1884052978045103,1.1885382161782045,1.1877764687271677,1.1880339608232928
2025-06-02 15:42:31,2.4197843575220532,3.2738975612995103,1.18867053850538,24.5078125,1.1883206591988396,1.1883760915250887,1.1877335533778135,1.1878152117508902
2025-06-02 15:42:32,2.419829061010964,3.273515495480954,1.1884917245497375,24.53125,1.188331388036178,1.1883146987336515,1.187542222445276,1.1876286491905033
2025-06-02 15:42:33,2.4203249717146122,3.2737908689726436,1.1884005294323599,24.4609375,1.1881472096618664,1.1882461533839885,1.187309168256422,1.1875028833750347
2025-06-02 15:42:34,2.419582893798696,3.2741026013019803,1.1881573424526861,24.4375,1.1877418980290768,1.187859319193282,1.1871923431387357,1.1870010122061982
2025-06-02 15:42:35,2.420045425897291,3.2739345161836764,1.1882002578020403,24.5234375,1.187626265004428,1.187822364309116,1.1870177015087249,1.1871303543007796
2025-06-02 15:42:36,2.460683877549634,3.274106177581093,1.188129924312821,24.4375,1.187862299425876,1.187794350122732,1.187175653836209,1.1871935352317733
2025-06-02 15:42:37,2.4201431775263758,3.274165782232974,1.1883051619893505,24.5078125,1.1879600510549606,1.1880506501258195,1.1875708326781789,1.1875225529101554
2025-06-02 15:42:38,2.419232418445637,3.2741550533956354,1.1883242354779524,24.484375,1.1878456101233494,1.1879636273340735,1.1873580440709643,1.1873169168611666
2025-06-02 15:42:39,2.4199303889191612,3.274206313396253,1.1883820519902768,24.53125,1.1879636273340735,1.1879821047761565,1.1871685012779833,1.1871339305798925
2025-06-02 15:42:40,2.417764951916331,3.273879679903946,1.18841543059533,24.5234375,1.1879475340780656,1.1879409775663587,1.1872620805814362,1.1872334703485334
2025-06-02 15:42:41,2.419984629152373,3.2740400164175054,1.1884798036193613,24.5234375,1.1879564747758478,1.1879314408220578,1.1872185691855632,1.1872138008134128
2025-06-02 15:42:42,2.419868996127724,3.2741151182788752,1.1884422526886764,24.5546875,1.1878944859378917,1.1879761443109684,1.1871690973245022,1.1872239336042325
2025-06-02 15:42:43,2.4196961426372696,3.2739893524634067,1.18821039059286,24.4921875,1.1877550110524906,1.1878509745420187,1.1872614845349174,1.1872763856978876
2025-06-02 15:42:44,2.4176666042407278,3.2693282686863268,1.1876495108186615,24.484375,1.1871369108124865,1.1873878463969048,1.1866839154581923,1.1869539245312124
2025-06-02 15:42:45,2.420189669154843,3.2737723915305605,1.1877174601218057,24.484375,1.1872549280232105,1.187203668022593,1.186793588017653,1.1866761668534478
2025-06-02 15:42:46,2.420049002176404,3.274125847116214,1.1879534945432537,24.4453125,1.1874450668627103,1.1874629482582746,1.1870773061606057,1.1870820745327562
2025-06-02 15:42:47,2.4218693282448442,3.274395260142715,1.188462518270316,24.5546875,1.188151381987498,1.18791534756605,1.1873109563959785,1.1870957836026887
2025-06-02 15:42:48,2.419708063567646,3.2737789480422674,1.1885876880392656,24.6171875,1.1883343682687721,1.1882640347795528,1.18757023663166,1.187517784538005
2025-06-02 15:42:49,2.4233987836121065,3.2742766468854723,1.1885477529225055,24.484375,1.1880595908236016,1.188284896407711,1.187790773843619,1.187859319193282
2025-06-02 15:42:50,2.382588670562347,3.2741127340928,1.1880852208239103,24.5546875,1.1880297884976612,1.1879517064036973,1.1866994126676813,1.1878235564021535
2025-06-02 15:42:51,2.3764172049066072,3.272798451518828,1.1878301129138604,24.59375,1.1871869787200664,1.1872871145352262,1.1869741901128519,1.1877097115170612
2025-06-02 15:42:52,2.439058713800754,3.2745997040986663,1.1877138838426928,24.4453125,1.1871625408127953,1.187377713606085,1.1869479640660243,1.1874635443047934
2025-06-02 15:42:53,2.5499472081598293,3.274559768981906,1.187865875704989,24.5546875,1.187179230115322,1.1874921545376962,1.187051676160297,1.187617324306646
